"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HLBSL","2024-01-25","645.6","658","600","626","-1.11 %","9,562.00"
"HLI","2024-01-25","415","415","405","410.1","-0.22 %","62,096.00"
"HOTELS","2024-01-25","5675.44","5745.4","5581.9","5598.94","-1.04 %","100,036,933.50"
"HPPL","2024-01-25","284","284","272.1","279.8","0.29 %","31,662.00"
"HRL","2024-01-25","657","661","645.1","646.8","-1.55 %","439,859.00"
"HURJA","2024-01-25","289","293","282","283.6","-0.14 %","48,704.00"
"HYDROPOWER","2024-01-25","2590.54","2607.11","2559.67","2590.18","-0.02 %","1,487,570,456.80"
"ICFC","2024-01-25","486","486.1","470","479.9","-0.44 %","31,090.00"
"IGI","2024-01-25","583.9","583.9","556.7","560","-2.18 %","76,589.00"
"IHL","2024-01-25","301","313","301","307.4","0.46 %","12,919.00"
"ILBS","2024-01-25","735","810.9","712.2","810.9","8.12 %","5,573.00"
"ILI","2024-01-25","540.1","547","535","535","-1.29 %","45,778.00"
"INVESTMENT","2024-01-25","79.19","80.6","78.77","78.99","-0.63 %","257,487,050.40"
"JALPA","2024-01-25","1160","1199","1152.5","1165.1","-0.93 %","505.00"
"JBBD87","2024-01-25","870","870","870","870","5.45 %","25.00"
"JBBL","2024-01-25","302","306","296.5","301","1.14 %","35,171.00"
"JBLB","2024-01-25","1350","1360","1336","1350","0.00 %","4,338.00"
"JFL","2024-01-25","352.8","362.9","352.8","362.9","1.37 %","8,870.00"
"JOSHI","2024-01-25","258","266.7","252.9","258","-1.90 %","39,752.00"
"JSLBB","2024-01-25","880","896","851.1","896","2.99 %","1,701.00"
"KBL","2024-01-25","154.9","156","151.9","154.3","0.65 %","210,216.00"
"KBLPO","2024-01-25","106","106","106","106","0.00 %","333,702.00"
"KBSH","2024-01-25","846","850","831","850","0.00 %","1,122.00"
"KDBY","2024-01-25","8.61","8.91","8.61","8.76","0.23 %","8,750.00"
"KDL","2024-01-25","875","885","858","859.1","-1.12 %","6,752.00"
"KEF","2024-01-25","8.17","8.24","8.12","8.23","0.73 %","3,805.00"
"KKHC","2024-01-25","238.6","240","227.1","233","-0.43 %","18,886.00"
"KLBSL","2024-01-25","827","842.4","811.1","842.4","-0.01 %","1,068.00"
"KMCDB","2024-01-25","671","671","641.9","645","-3.01 %","1,151.00"
"KPCL","2024-01-25","411","442.6","411","442","5.74 %","36,491.00"
"KRBL","2024-01-25","369","369","353.1","360","-1.21 %","11,768.00"
"KSBBL","2024-01-25","336","344","335","338","2.11 %","46,979.00"
